color;director_name;num_critic_for_reviews;duration;final_budget;movie_title;imdb_score
Color;James Cameron;723.0;178.0;237000000.0;Avatar ;7.9
Color;Gore Verbinski;302.0;169.0;300000000.0;Pirates of the Caribbean: At World's End ;7.1
Color;Sam Mendes;602.0;148.0;245000000.0;Spectre ;6.8
Color;Christopher Nolan;813.0;164.0;250000000.0;The Dark Knight Rises ;8.5
;Doug Walker;110.0;103.0;9673194.227955185;Star Wars: Episode VII - The Force Awakens             ;7.1
Color;Andrew Stanton;462.0;132.0;250000000.0;John Carter ;6.6
Color;Sam Raimi;392.0;156.0;258000000.0;Spider-Man 3 ;6.2
Color;Nathan Greno;324.0;100.0;260000000.0;Tangled ;7.8
Color;Joss Whedon;635.0;141.0;250000000.0;Avengers: Age of Ultron ;7.5
Color;David Yates;375.0;153.0;250000000.0;Harry Potter and the Half-Blood Prince ;7.5
Color;Zack Snyder;673.0;183.0;250000000.0;Batman v Superman: Dawn of Justice ;6.9
Color;Bryan Singer;434.0;169.0;209000000.0;Superman Returns ;6.1
Color;Marc Forster;403.0;106.0;200000000.0;Quantum of Solace ;6.7
Color;Gore Verbinski;313.0;151.0;225000000.0;Pirates of the Caribbean: Dead Man's Chest ;7.3
Color;Gore Verbinski;450.0;150.0;215000000.0;The Lone Ranger ;6.5
Color;Zack Snyder;733.0;143.0;225000000.0;Man of Steel ;7.2
Color;Andrew Adamson;258.0;150.0;225000000.0;The Chronicles of Narnia: Prince Caspian ;6.6
Color;Joss Whedon;703.0;173.0;220000000.0;The Avengers ;8.1
Color;Rob Marshall;448.0;136.0;250000000.0;Pirates of the Caribbean: On Stranger Tides ;6.7
Color;Barry Sonnenfeld;451.0;106.0;225000000.0;Men in Black 3 ;6.8
Color;Peter Jackson;422.0;164.0;250000000.0;The Hobbit: The Battle of the Five Armies ;7.5
Color;Marc Webb;599.0;153.0;230000000.0;The Amazing Spider-Man ;7.0
Color;Ridley Scott;343.0;156.0;200000000.0;Robin Hood ;6.7
Color;Peter Jackson;509.0;186.0;225000000.0;The Hobbit: The Desolation of Smaug ;7.9
Color;Chris Weitz;251.0;113.0;180000000.0;The Golden Compass ;6.1
Color;Peter Jackson;446.0;201.0;207000000.0;King Kong ;7.2
Color;James Cameron;315.0;194.0;200000000.0;Titanic ;7.7
Color;Anthony Russo;516.0;147.0;250000000.0;Captain America: Civil War ;8.2
Color;Peter Berg;377.0;131.0;209000000.0;Battleship ;5.9
Color;Colin Trevorrow;644.0;124.0;150000000.0;Jurassic World ;7.0
Color;Sam Mendes;750.0;143.0;200000000.0;Skyfall ;7.8
Color;Sam Raimi;300.0;135.0;200000000.0;Spider-Man 2 ;7.3
Color;Shane Black;608.0;195.0;200000000.0;Iron Man 3 ;7.2
Color;Tim Burton;451.0;108.0;200000000.0;Alice in Wonderland ;6.5
Color;Brett Ratner;334.0;104.0;210000000.0;X-Men: The Last Stand ;6.8
Color;Dan Scanlon;376.0;104.0;200000000.0;Monsters University ;7.3
Color;Michael Bay;366.0;150.0;200000000.0;Transformers: Revenge of the Fallen ;6.0
Color;Michael Bay;378.0;165.0;210000000.0;Transformers: Age of Extinction ;5.7
Color;Sam Raimi;525.0;130.0;215000000.0;Oz the Great and Powerful ;6.4
Color;Marc Webb;495.0;142.0;200000000.0;The Amazing Spider-Man 2 ;6.7
Color;Joseph Kosinski;469.0;125.0;170000000.0;TRON: Legacy ;6.8
Color;John Lasseter;304.0;106.0;200000000.0;Cars 2 ;6.3
Color;Martin Campbell;436.0;123.0;200000000.0;Green Lantern ;5.6
Color;Lee Unkrich;453.0;103.0;200000000.0;Toy Story 3 ;8.3
Color;McG;422.0;118.0;200000000.0;Terminator Salvation ;6.6
Color;James Wan;424.0;140.0;190000000.00000003;Furious 7 ;7.2
Color;Marc Forster;654.0;123.0;190000000.00000003;World War Z ;7.0
Color;Bryan Singer;539.0;149.0;200000000.0;X-Men: Days of Future Past ;8.0
Color;J.J. Abrams;590.0;132.0;190000000.00000003;Star Trek Into Darkness ;7.8
Color;Bryan Singer;338.0;114.0;195000000.0;Jack the Giant Slayer ;6.3
Color;Baz Luhrmann;490.0;143.0;105000000.0;The Great Gatsby ;7.3
Color;Mike Newell;306.0;116.0;200000000.0;Prince of Persia: The Sands of Time ;6.6
Color;Guillermo del Toro;575.0;131.0;190000000.00000003;Pacific Rim ;7.0
Color;Michael Bay;428.0;154.0;195000000.0;Transformers: Dark of the Moon ;6.3
Color;Steven Spielberg;470.0;122.0;185000000.0;Indiana Jones and the Kingdom of the Crystal Skull ;6.2
Color;Peter Sohn;298.0;93.0;200000000.0;The Good Dinosaur ;6.8
Color;Mark Andrews;488.0;93.0;185000000.0;Brave ;7.2
Color;Justin Lin;322.0;122.0;185000000.0;Star Trek Beyond ;7.5
Color;Andrew Stanton;421.0;98.0;180000000.0;WALL·E ;8.4
Color;Brett Ratner;162.0;91.0;140000000.0;Rush Hour 3 ;6.2
Color;Roland Emmerich;367.0;158.0;200000000.0;2012 ;5.8
Color;Robert Zemeckis;240.0;96.0;200000000.0;A Christmas Carol ;6.8
Color;Lana Wachowski;384.0;127.0;176000000.0;Jupiter Ascending ;5.4
Color;David Yates;248.0;110.0;180000000.0;The Legend of Tarzan ;6.6
Color;Andrew Adamson;284.0;150.0;180000000.0;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;6.9
Color;Bryan Singer;396.0;144.0;178000000.0;X-Men: Apocalypse ;7.3
Color;Christopher Nolan;645.0;152.0;185000000.0;The Dark Knight ;9.0
Color;Pete Docter;408.0;96.0;175000000.0;Up ;8.3
Color;Rob Letterman;219.0;94.0;175000000.0;Monsters vs. Aliens ;6.5
Color;Jon Favreau;486.0;126.0;140000000.0;Iron Man ;7.9
Color;Martin Scorsese;682.0;126.0;150000000.0;Hugo ;7.5
Color;Barry Sonnenfeld;85.0;106.0;170000000.0;Wild Wild West ;4.8
Color;Rob Cohen;264.0;112.0;145000000.0;The Mummy: Tomb of the Dragon Emperor ;5.2
Color;David Ayer;418.0;123.0;175000000.0;Suicide Squad ;6.9
Color;Tom Shadyac;186.0;96.0;175000000.0;Evan Almighty ;5.4
Color;Doug Liman;585.0;113.0;178000000.0;Edge of Tomorrow ;7.9
Color;Kevin Reynolds;91.0;176.0;175000000.0;Waterworld ;6.1
Color;Stephen Sommers;250.0;118.0;175000000.0;G.I. Joe: The Rise of Cobra ;5.8
Color;Pete Docter;536.0;95.0;175000000.0;Inside Out ;8.3
Color;Jon Favreau;370.0;106.0;175000000.0;The Jungle Book ;7.8
Color;Jon Favreau;453.0;124.0;200000000.0;Iron Man 2 ;7.0
Color;Rupert Sanders;416.0;132.0;170000000.0;Snow White and the Huntsman ;6.1
Color;Robert Stromberg;401.0;97.0;180000000.0;Maleficent ;7.0
Color;Matt Reeves;521.0;130.0;170000000.0;Dawn of the Planet of the Apes ;7.6
Color;Roland Joffé;10.0;109.0;16104622.676624078;The Lovers ;4.5
Color;Carl Rinsch;218.0;128.0;175000000.0;47 Ronin ;6.3
Color;Anthony Russo;576.0;136.0;170000000.0;Captain America: The Winter Soldier ;7.8
Color;Mike Mitchell;226.0;93.0;165000000.00000003;Shrek Forever After ;6.4
Color;Brad Bird;443.0;130.0;190000000.00000003;Tomorrowland ;6.5
Color;Don Hall;384.0;102.0;165000000.00000003;Big Hero 6 ;7.9
Color;Rich Moore;377.0;101.0;165000000.00000003;Wreck-It Ralph ;7.8
Color;Robert Zemeckis;188.0;100.0;165000000.00000003;The Polar Express ;6.6
Color;Roland Emmerich;286.0;120.0;165000000.00000003;Independence Day: Resurgence ;5.5
Color;Dean DeBlois;288.0;98.0;165000000.00000003;How to Train Your Dragon ;8.2
Color;Jonathan Mostow;280.0;109.0;200000000.0;Terminator 3: Rise of the Machines ;6.4
Color;James Gunn;653.0;121.0;170000000.0;Guardians of the Galaxy ;8.1
Color;Christopher Nolan;712.0;169.0;165000000.00000003;Interstellar ;8.6
Color;Christopher Nolan;642.0;148.0;160000000.0;Inception ;8.8
Color;Hideaki Anno;1.0;120.0;33914536.91986388;Godzilla Resurgence ;8.2
Color;Peter Jackson;645.0;182.0;180000000.0;The Hobbit: An Unexpected Journey ;7.9
Color;Rob Cohen;187.0;106.0;38000000.0;The Fast and the Furious ;6.7
