num_critic_for_reviews,duration,final_budget,imdb_score, Black and White,Color,director_firstclass,director_secondclass,director_thirdclass,director_unknown
723.0,178.0,237000000.0,7.9,0,1,1,0,0,0
302.0,169.0,300000000.0,7.1,0,1,1,0,0,0
602.0,148.0,245000000.0,6.8,0,1,1,0,0,0
813.0,164.0,250000000.0,8.5,0,1,1,0,0,0
110.0,103.0,9673194.22796,7.1,1,0,0,0,1,0
462.0,132.0,250000000.0,6.6,0,1,0,1,0,0
392.0,156.0,258000000.0,6.2,0,1,1,0,0,0
324.0,100.0,260000000.0,7.8,0,1,0,0,1,0
635.0,141.0,250000000.0,7.5,0,1,0,1,0,0
375.0,153.0,250000000.0,7.5,0,1,0,1,0,0
673.0,183.0,250000000.0,6.9,0,1,1,0,0,0
434.0,169.0,209000000.0,6.1,0,1,1,0,0,0
403.0,106.0,200000000.0,6.7,0,1,1,0,0,0
313.0,151.0,225000000.0,7.3,0,1,1,0,0,0
450.0,150.0,215000000.0,6.5,0,1,1,0,0,0
733.0,143.0,225000000.0,7.2,0,1,1,0,0,0
258.0,150.0,225000000.0,6.6,0,1,1,0,0,0
703.0,173.0,220000000.0,8.1,0,1,0,1,0,0
448.0,136.0,250000000.0,6.7,0,1,1,0,0,0
451.0,106.0,225000000.0,6.8,0,1,1,0,0,0
422.0,164.0,250000000.0,7.5,0,1,1,0,0,0
599.0,153.0,230000000.0,7.0,0,1,0,1,0,0
343.0,156.0,200000000.0,6.7,0,1,1,0,0,0
509.0,186.0,225000000.0,7.9,0,1,1,0,0,0
251.0,113.0,180000000.0,6.1,0,1,1,0,0,0
446.0,201.0,207000000.0,7.2,0,1,1,0,0,0
315.0,194.0,200000000.0,7.7,0,1,1,0,0,0
516.0,147.0,250000000.0,8.2,0,1,0,1,0,0
377.0,131.0,209000000.0,5.9,0,1,1,0,0,0
644.0,124.0,150000000.0,7.0,0,1,0,1,0,0
750.0,143.0,200000000.0,7.8,0,1,1,0,0,0
300.0,135.0,200000000.0,7.3,0,1,1,0,0,0
608.0,195.0,200000000.0,7.2,0,1,0,1,0,0
451.0,108.0,200000000.0,6.5,0,1,1,0,0,0
334.0,104.0,210000000.0,6.8,0,1,1,0,0,0
376.0,104.0,200000000.0,7.3,0,1,0,0,1,0
366.0,150.0,200000000.0,6.0,0,1,1,0,0,0
378.0,165.0,210000000.0,5.7,0,1,1,0,0,0
525.0,130.0,215000000.0,6.4,0,1,1,0,0,0
495.0,142.0,200000000.0,6.7,0,1,0,1,0,0
469.0,125.0,170000000.0,6.8,0,1,0,1,0,0
304.0,106.0,200000000.0,6.3,0,1,1,0,0,0
436.0,123.0,200000000.0,5.6,0,1,1,0,0,0
453.0,103.0,200000000.0,8.3,0,1,0,0,1,0
422.0,118.0,200000000.0,6.6,0,1,1,0,0,0
424.0,140.0,190000000.0,7.2,0,1,1,0,0,0
654.0,123.0,190000000.0,7.0,0,1,1,0,0,0
539.0,149.0,200000000.0,8.0,0,1,1,0,0,0
590.0,132.0,190000000.0,7.8,0,1,0,1,0,0
338.0,114.0,195000000.0,6.3,0,1,1,0,0,0
490.0,143.0,105000000.0,7.3,0,1,0,1,0,0
306.0,116.0,200000000.0,6.6,0,1,1,0,0,0
575.0,131.0,190000000.0,7.0,0,1,1,0,0,0
428.0,154.0,195000000.0,6.3,0,1,1,0,0,0
470.0,122.0,185000000.0,6.2,0,1,1,0,0,0
298.0,93.0,200000000.0,6.8,0,1,0,0,1,0
488.0,93.0,185000000.0,7.2,0,1,0,0,1,0
322.0,122.0,185000000.0,7.5,0,1,1,0,0,0
421.0,98.0,180000000.0,8.4,0,1,0,1,0,0
162.0,91.0,140000000.0,6.2,0,1,1,0,0,0
367.0,158.0,200000000.0,5.8,0,1,1,0,0,0
240.0,96.0,200000000.0,6.8,0,1,1,0,0,0
384.0,127.0,176000000.0,5.4,0,1,1,0,0,0
248.0,110.0,180000000.0,6.6,0,1,0,1,0,0
284.0,150.0,180000000.0,6.9,0,1,1,0,0,0
396.0,144.0,178000000.0,7.3,0,1,1,0,0,0
645.0,152.0,185000000.0,9.0,0,1,1,0,0,0
408.0,96.0,175000000.0,8.3,0,1,0,1,0,0
219.0,94.0,175000000.0,6.5,0,1,0,1,0,0
486.0,126.0,140000000.0,7.9,0,1,1,0,0,0
682.0,126.0,150000000.0,7.5,0,1,1,0,0,0
85.0,106.0,170000000.0,4.8,0,1,1,0,0,0
264.0,112.0,145000000.0,5.2,0,1,1,0,0,0
418.0,123.0,175000000.0,6.9,0,1,1,0,0,0
186.0,96.0,175000000.0,5.4,0,1,1,0,0,0
585.0,113.0,178000000.0,7.9,0,1,1,0,0,0
91.0,176.0,175000000.0,6.1,0,1,1,0,0,0
250.0,118.0,175000000.0,5.8,0,1,0,1,0,0
536.0,95.0,175000000.0,8.3,0,1,0,1,0,0
370.0,106.0,175000000.0,7.8,0,1,1,0,0,0
453.0,124.0,200000000.0,7.0,0,1,1,0,0,0
416.0,132.0,170000000.0,6.1,0,1,0,0,1,0
401.0,97.0,180000000.0,7.0,0,1,0,0,1,0
521.0,130.0,170000000.0,7.6,0,1,0,1,0,0
10.0,109.0,16104622.6766,4.5,0,1,0,1,0,0
218.0,128.0,175000000.0,6.3,0,1,0,0,1,0
576.0,136.0,170000000.0,7.8,0,1,0,1,0,0
226.0,93.0,165000000.0,6.4,0,1,0,1,0,0
443.0,130.0,190000000.0,6.5,0,1,1,0,0,0
384.0,102.0,165000000.0,7.9,0,1,0,0,1,0
377.0,101.0,165000000.0,7.8,0,1,0,0,1,0
188.0,100.0,165000000.0,6.6,0,1,1,0,0,0
286.0,120.0,165000000.0,5.5,0,1,1,0,0,0
288.0,98.0,165000000.0,8.2,0,1,0,1,0,0
280.0,109.0,200000000.0,6.4,0,1,0,1,0,0
653.0,121.0,170000000.0,8.1,0,1,0,1,0,0
712.0,169.0,165000000.0,8.6,0,1,1,0,0,0
642.0,148.0,160000000.0,8.8,0,1,1,0,0,0
1.0,120.0,33914536.9199,8.2,0,1,0,0,1,0
645.0,182.0,180000000.0,7.9,0,1,1,0,0,0
187.0,106.0,38000000.0,6.7,0,1,1,0,0,0
362.0,166.0,150000000.0,7.8,0,1,1,0,0,0
500.0,132.0,160000000.0,7.8,0,1,0,1,0,0
389.0,137.0,160000000.0,6.6,0,1,1,0,0,0
235.0,109.0,150000000.0,6.1,0,1,1,0,0,0
231.0,98.0,160000000.0,5.6,0,1,1,0,0,0
218.0,113.0,170000000.0,6.4,0,1,0,1,0,0
227.0,93.0,160000000.0,6.1,0,1,0,1,0,0
275.0,123.0,160000000.0,7.3,0,1,0,1,0,0
474.0,126.0,155000000.0,6.6,0,1,0,1,0,0
228.0,113.0,155000000.0,6.3,0,1,1,0,0,0
191.0,184.0,140000000.0,6.1,1,0,1,0,0,0
396.0,144.0,150000000.0,7.1,0,1,1,0,0,0
248.0,206.0,155000000.0,5.5,0,1,1,0,0,0
329.0,138.0,150000000.0,7.5,0,1,0,1,0,0
295.0,157.0,150000000.0,7.6,0,1,1,0,0,0
318.0,102.0,150000000.0,6.4,0,1,1,0,0,0
323.0,104.0,150000000.0,7.2,0,1,1,0,0,0
276.0,115.0,150000000.0,6.7,0,1,1,0,0,0
318.0,111.0,150000000.0,8.0,0,1,1,0,0,0
478.0,128.0,150000000.0,8.3,0,1,1,0,0,0
167.0,89.0,150000000.0,6.7,0,1,1,0,0,0
185.0,105.0,150000000.0,5.9,0,1,1,0,0,0
350.0,119.0,150000000.0,6.7,0,1,0,1,0,0
245.0,129.0,150000000.0,6.7,0,1,1,0,0,0
406.0,102.0,150000000.0,7.6,0,1,0,0,1,0
275.0,138.0,150000000.0,7.2,0,1,1,0,0,0
486.0,112.0,170000000.0,7.1,0,1,0,1,0,0
739.0,120.0,150000000.0,8.1,0,1,1,0,0,0
298.0,146.0,150000000.0,6.7,0,1,1,0,0,0
516.0,115.0,150000000.0,7.0,0,1,1,0,0,0
225.0,96.0,150000000.0,6.9,0,1,0,0,1,0
145.0,88.0,150000000.0,5.1,0,1,0,0,1,0
310.0,99.0,150000000.0,5.8,0,1,1,0,0,0
526.0,113.0,150000000.0,6.2,0,1,1,0,0,0
465.0,131.0,150000000.0,7.4,0,1,0,1,0,0
357.0,119.0,150000000.0,5.8,0,1,0,1,0,0
194.0,91.0,150000000.0,6.2,0,1,0,0,1,0
284.0,90.0,150000000.0,7.3,0,1,0,0,1,0
280.0,103.0,150000000.0,4.2,0,1,1,0,0,0
310.0,124.0,150000000.0,6.9,0,1,0,1,0,0
339.0,131.0,150000000.0,6.4,0,1,1,0,0,0
132.0,88.0,150000000.0,5.4,0,1,0,1,0,0
135.0,85.0,149000000.0,6.7,0,1,0,1,0,0
256.0,111.0,150000000.0,5.8,0,1,1,0,0,0
196.0,92.0,145000000.0,6.9,0,1,1,0,0,0
220.0,196.0,175000000.0,7.2,0,1,1,0,0,0
211.0,93.0,145000000.0,6.9,0,1,1,0,0,0
264.0,133.0,142000000.0,6.1,1,0,1,0,0,0
464.0,116.0,144000000.0,5.5,0,1,0,1,0,0
167.0,153.0,140000000.0,6.6,0,1,1,0,0,0
208.0,88.0,140000000.0,6.1,0,1,1,0,0,0
287.0,115.0,150000000.0,6.3,0,1,1,0,0,0
210.0,95.0,145000000.0,7.2,0,1,0,0,1,0
432.0,133.0,145000000.0,7.4,0,1,1,0,0,0
256.0,97.0,145000000.0,7.3,0,1,0,0,1,0
135.0,90.0,100000000.0,6.1,0,1,0,1,0,0
190.0,154.0,140000000.0,7.7,0,1,1,0,0,0
314.0,150.0,140000000.0,6.1,0,1,1,0,0,0
518.0,127.0,150000000.0,8.0,0,1,0,1,0,0
291.0,121.0,139000000.0,7.3,0,1,1,0,0,0
292.0,102.0,145000000.0,7.9,0,1,0,1,0,0
184.0,126.0,140000000.0,5.5,0,1,1,0,0,0
145.0,121.0,135000000.0,5.0,0,1,1,0,0,0
451.0,215.0,130000000.0,7.7,0,1,1,0,0,0
141.0,127.0,140000000.0,6.6,0,1,1,0,0,0
267.0,138.0,137000000.0,5.7,0,1,1,0,0,0
351.0,122.0,130000000.0,5.8,0,1,1,0,0,0
163.0,124.0,130000000.0,6.0,0,1,0,1,0,0
166.0,106.0,137000000.0,6.4,0,1,0,0,1,0
510.0,124.0,140000000.0,6.9,0,1,0,1,0,0
197.0,128.0,135000000.0,6.4,0,1,1,0,0,0
244.0,138.0,150000000.0,7.4,0,1,0,1,0,0
322.0,115.0,120000000.0,5.5,0,1,1,0,0,0
156.0,100.0,135000000.0,5.9,0,1,1,0,0,0
354.0,135.0,150000000.0,6.8,0,1,1,0,0,0
252.0,117.0,140000000.0,6.8,0,1,1,0,0,0
556.0,156.0,135000000.0,8.1,0,1,1,0,0,0
166.0,96.0,135000000.0,6.5,0,1,0,0,1,0
362.0,107.0,135000000.0,7.2,0,1,1,0,0,0
153.0,92.0,132000000.0,6.7,0,1,1,0,0,0
329.0,115.0,110000000.0,8.1,0,1,1,0,0,0
266.0,92.0,130000000.0,7.6,0,1,0,1,0,0
517.0,117.0,130000000.0,7.4,0,1,0,1,0,0
502.0,146.0,130000000.0,7.6,0,1,1,0,0,0
165.0,94.0,135000000.0,6.7,0,1,0,1,0,0
401.0,116.0,132000000.0,6.5,0,1,1,0,0,0
94.0,147.0,130000000.0,6.6,0,1,1,0,0,0
246.0,90.0,130000000.0,6.7,0,1,0,1,0,0
330.0,101.0,110000000.0,6.4,0,1,1,0,0,0
434.0,138.0,125000000.0,5.8,0,1,1,0,0,0
440.0,107.0,135000000.0,7.4,0,1,1,0,0,0
274.0,142.0,130000000.0,7.8,0,1,0,1,0,0
245.0,165.0,130000000.0,6.6,0,1,0,1,0,0
349.0,100.0,130000000.0,4.9,0,1,1,0,0,0
145.0,82.0,127500000.0,6.5,0,1,0,0,1,0
1.0,103.0,33926477.7327,7.5,0,1,0,1,0,0
154.0,98.0,127000000.0,6.2,0,1,1,0,0,0
233.0,95.0,130000000.0,7.3,0,1,0,0,1,0
258.0,159.0,125000000.0,7.5,0,1,1,0,0,0
208.0,96.0,130000000.0,5.6,0,1,1,0,0,0
271.0,143.0,140000000.0,8.1,0,1,1,0,0,0
4.0,103.0,12929304.6326,6.4,0,1,0,1,0,0
403.0,123.0,125000000.0,6.7,0,1,1,0,0,0
294.0,174.0,125000000.0,6.6,0,1,1,0,0,0
159.0,101.0,103000000.0,6.4,0,1,0,1,0,0
289.0,134.0,110000000.0,7.5,0,1,1,0,0,0
342.0,132.0,125000000.0,7.3,0,1,1,0,0,0
382.0,129.0,125000000.0,7.5,0,1,1,0,0,0
344.0,106.0,125000000.0,5.8,0,1,1,0,0,0
196.0,113.0,65000000.0,7.5,0,1,1,0,0,0
85.0,102.0,160000000.0,6.6,0,1,1,0,0,0
436.0,135.0,125000000.0,6.7,0,1,0,1,0,0
183.0,125.0,125000000.0,3.7,0,1,1,0,0,0
175.0,110.0,123000000.0,6.0,0,1,1,0,0,0
239.0,124.0,125000000.0,6.4,0,1,1,0,0,0
237.0,123.0,125000000.0,6.1,0,1,1,0,0,0
231.0,130.0,140000000.0,6.4,0,1,1,0,0,0
262.0,92.0,130000000.0,5.6,0,1,1,0,0,0
552.0,127.0,120000000.0,8.0,0,1,1,0,0,0
276.0,123.0,110000000.0,5.2,0,1,0,1,0,0
267.0,123.0,120000000.0,7.1,0,1,1,0,0,0
102.0,107.0,120000000.0,4.8,0,1,1,0,0,0
775.0,124.0,130000000.0,7.0,0,1,1,0,0,0
71.0,77.0,120000000.0,5.4,0,1,1,0,0,0
476.0,109.0,115000000.0,6.6,0,1,0,1,0,0
207.0,134.0,105000000.0,6.7,0,1,0,1,0,0
492.0,117.0,100000000.0,6.2,0,1,0,1,0,0
284.0,135.0,120000000.0,6.1,0,1,1,0,0,0
168.0,121.0,120000000.0,5.3,0,1,0,1,0,0
283.0,117.0,117000000.0,6.3,0,1,1,0,0,0
539.0,124.0,120000000.0,7.0,0,1,0,1,0,0
359.0,140.0,113000000.0,7.6,0,1,1,0,0,0
284.0,142.0,115000000.0,6.7,0,1,1,0,0,0
250.0,92.0,115000000.0,8.1,0,1,0,1,0,0
440.0,138.0,120000000.0,6.7,0,1,1,0,0,0
320.0,136.0,115000000.0,6.5,0,1,1,0,0,0
257.0,98.0,135000000.0,7.3,0,1,0,1,0,0
33.0,116.0,83662800.0,5.1,0,1,0,0,1,0
152.0,153.0,115000000.0,6.0,0,1,1,0,0,0
231.0,120.0,115000000.0,6.1,0,1,0,0,1,0
348.0,101.0,125000000.0,5.9,0,1,1,0,0,0
738.0,91.0,100000000.0,7.8,0,1,0,1,0,0
93.0,108.0,116000000.0,5.8,0,1,1,0,0,0
181.0,112.0,135000000.0,6.3,0,1,0,1,0,0
369.0,100.0,120000000.0,4.3,0,1,0,1,0,0
179.0,108.0,110000000.0,6.4,0,1,1,0,0,0
358.0,114.0,110000000.0,6.1,0,1,0,1,0,0
160.0,119.0,110000000.0,6.5,0,1,0,1,0,0
192.0,142.0,110000000.0,7.1,0,1,1,0,0,0
198.0,125.0,110000000.0,6.4,0,1,1,0,0,0
233.0,126.0,120000000.0,6.5,0,1,1,0,0,0
263.0,119.0,110000000.0,6.3,0,1,1,0,0,0
267.0,170.0,110000000.0,7.5,1,0,1,0,0,0
184.0,85.0,112000000.0,4.9,0,1,0,1,0,0
447.0,119.0,120000000.0,5.8,0,1,0,1,0,0
366.0,102.0,110000000.0,6.2,0,1,0,0,1,0
172.0,103.0,110000000.0,5.5,0,1,1,0,0,0
104.0,76.0,110000000.0,5.4,0,1,0,1,0,0
181.0,120.0,110000000.0,5.8,0,1,1,0,0,0
327.0,127.0,110000000.0,7.1,0,1,1,0,0,0
125.0,105.0,105000000.0,5.4,0,1,1,0,0,0
79.0,121.0,160000000.0,3.7,0,1,1,0,0,0
326.0,114.0,110000000.0,6.7,0,1,0,1,0,0
354.0,129.0,110000000.0,7.2,0,1,0,1,0,0
297.0,171.0,93000000.0,8.8,0,1,1,0,0,0
188.0,120.0,110000000.0,5.8,0,1,1,0,0,0
174.0,165.0,107000000.0,6.8,1,0,1,0,0,0
109.0,82.0,109000000.0,3.8,0,1,0,0,1,0
225.0,115.0,120000000.0,7.1,0,1,1,0,0,0
239.0,194.0,130000000.0,7.2,0,1,1,0,0,0
101.0,84.0,133000000.0,5.9,0,1,1,0,0,0
228.0,97.0,105000000.0,7.1,0,1,0,1,0,0
568.0,151.0,108000000.0,8.1,0,1,1,0,0,0
110.0,22.0,10988870.3031,7.2,1,0,0,0,1,0
257.0,136.0,126000000.0,6.9,0,1,1,0,0,0
62.0,104.0,90000000.0,4.4,0,1,1,0,0,0
175.0,127.0,90000000.0,6.5,0,1,0,1,0,0
265.0,171.0,103000000.0,8.5,0,1,1,0,0,0
252.0,145.0,102000000.0,7.7,0,1,1,0,0,0
232.0,174.0,100000000.0,7.4,0,1,1,0,0,0
400.0,144.0,150000000.0,8.0,1,0,1,0,0,0
230.0,119.0,100000000.0,5.7,0,1,1,0,0,0
210.0,153.0,102000000.0,8.5,0,1,1,0,0,0
357.0,140.0,100000000.0,7.0,0,1,1,0,0,0
300.0,176.0,100000000.0,7.8,0,1,1,0,0,0
94.0,141.0,115000000.0,7.2,0,1,1,0,0,0
267.0,106.0,100000000.0,6.4,0,1,1,0,0,0
180.0,98.0,100000000.0,5.5,0,1,1,0,0,0
265.0,116.0,100000000.0,6.7,0,1,1,0,0,0
81.0,115.0,100000000.0,6.1,0,1,1,0,0,0
765.0,165.0,100000000.0,8.5,0,1,1,0,0,0
80.0,91.0,100000000.0,6.9,0,1,0,1,0,0
141.0,78.0,100000000.0,7.3,0,1,0,1,0,0
383.0,103.0,100000000.0,6.7,0,1,1,0,0,0
193.0,131.0,100000000.0,6.9,0,1,1,0,0,0
170.0,104.0,100000000.0,5.1,1,0,0,0,1,0
333.0,101.0,100000000.0,6.8,0,1,0,1,0,0
203.0,102.0,100000000.0,6.7,0,1,0,1,0,0
321.0,103.0,100000000.0,6.0,0,1,0,1,0,0
174.0,121.0,100000000.0,5.7,0,1,1,0,0,0
166.0,143.0,100000000.0,8.0,0,1,1,0,0,0
606.0,240.0,100000000.0,8.2,0,1,1,0,0,0
144.0,121.0,100000000.0,5.4,0,1,1,0,0,0
192.0,129.0,105000000.0,7.2,0,1,1,0,0,0
511.0,172.0,102000000.0,7.5,0,1,1,0,0,0
188.0,101.0,80000000.0,7.0,0,1,1,0,0,0
212.0,87.0,100000000.0,3.3,0,1,0,0,1,0
245.0,101.0,100000000.0,6.0,0,1,1,0,0,0
127.0,95.0,140000000.0,7.1,0,1,0,1,0,0
167.0,102.0,100000000.0,5.4,0,1,0,1,0,0
320.0,131.0,90000000.0,6.1,0,1,0,0,1,0
163.0,114.0,105000000.0,5.3,0,1,0,0,1,0
78.0,94.0,84000000.0,2.2,0,1,0,1,0,0
289.0,122.0,100000000.0,7.0,0,1,1,0,0,0
66.0,95.0,100000000.0,3.8,0,1,0,1,0,0
266.0,115.0,100000000.0,6.9,0,1,1,0,0,0
208.0,88.0,99000000.0,7.2,0,1,0,1,0,0
97.0,110.0,10000000.0,7.3,0,1,0,1,0,0
202.0,130.0,98000000.0,6.3,0,1,0,1,0,0
233.0,216.0,100000000.0,7.5,0,1,1,0,0,0
136.0,146.0,94000000.0,7.6,0,1,1,0,0,0
154.0,85.0,100000000.0,6.8,0,1,0,0,1,0
169.0,93.0,90000000.0,5.2,0,1,1,0,0,0
200.0,152.0,92000000.0,7.7,0,1,1,0,0,0
255.0,85.0,95000000.0,6.2,0,1,1,0,0,0
173.0,126.0,93000000.0,7.7,0,1,1,0,0,0
221.0,146.0,100000000.0,4.3,0,1,0,0,1,0
82.0,89.0,95000000.0,6.9,0,1,0,1,0,0
233.0,88.0,95000000.0,6.6,0,1,0,1,0,0
343.0,105.0,95000000.0,7.0,0,1,1,0,0,0
308.0,135.0,65000000.0,6.7,0,1,1,0,0,0
301.0,100.0,94000000.0,8.2,0,1,0,1,0,0
328.0,192.0,94000000.0,8.9,0,1,1,0,0,0
294.0,172.0,94000000.0,8.7,0,1,1,0,0,0
175.0,102.0,95000000.0,5.5,0,1,0,1,0,0
199.0,100.0,115000000.0,5.7,0,1,1,0,0,0
355.0,119.0,100000000.0,6.3,0,1,0,0,1,0
198.0,92.0,93000000.0,5.9,0,1,0,1,0,0
529.0,105.0,93000000.0,7.6,0,1,0,1,0,0
198.0,107.0,90000000.0,6.6,0,1,1,0,0,0
412.0,101.0,92000000.0,5.3,0,1,0,1,0,0
106.0,137.0,107000000.0,6.0,0,1,0,1,0,0
283.0,115.0,92000000.0,8.0,0,1,1,0,0,0
61.0,124.0,98000000.0,5.6,0,1,1,0,0,0
217.0,118.0,95000000.0,5.9,0,1,1,0,0,0
175.0,98.0,90000000.0,7.3,0,1,1,0,0,0
191.0,82.0,90000000.0,7.9,0,1,1,0,0,0
316.0,98.0,100000000.0,6.8,0,1,1,0,0,0
127.0,90.0,90000000.0,6.6,0,1,1,0,0,0
185.0,130.0,100000000.0,6.6,0,1,1,0,0,0
191.0,90.0,100000000.0,7.0,0,1,0,1,0,0
188.0,94.0,90000000.0,7.0,0,1,0,1,0,0
362.0,114.0,90000000.0,7.3,0,1,1,0,0,0
181.0,94.0,93000000.0,5.5,0,1,1,0,0,0
352.0,151.0,90000000.0,8.5,0,1,1,0,0,0
143.0,88.0,90000000.0,7.5,0,1,0,0,1,0
308.0,121.0,92000000.0,7.0,0,1,1,0,0,0
517.0,158.0,90000000.0,7.8,0,1,1,0,0,0
148.0,128.0,90000000.0,7.6,0,1,1,0,0,0
415.0,128.0,90000000.0,7.6,0,1,1,0,0,0
1.0,141.0,100000000.0,6.1,0,1,0,1,0,0
146.0,95.0,120000000.0,6.8,0,1,0,1,0,0
70.0,92.0,90000000.0,5.0,0,1,0,1,0,0
269.0,121.0,75000000.0,7.1,0,1,1,0,0,0
198.0,113.0,90000000.0,5.5,0,1,1,0,0,0
253.0,106.0,88000000.0,5.6,0,1,1,0,0,0
281.0,146.0,100000000.0,7.1,0,1,1,0,0,0
122.0,88.0,90000000.0,4.9,0,1,1,0,0,0
159.0,150.0,90000000.0,7.4,0,1,1,0,0,0
180.0,119.0,95000000.0,5.7,0,1,1,0,0,0
227.0,128.0,80000000.0,6.4,0,1,1,0,0,0
183.0,106.0,90000000.0,5.9,0,1,0,1,0,0
157.0,117.0,95000000.0,5.5,0,1,1,0,0,0
196.0,129.0,90000000.0,6.9,0,1,1,0,0,0
64.0,116.0,68000000.0,6.2,0,1,1,0,0,0
142.0,114.0,115000000.0,7.0,0,1,1,0,0,0
181.0,114.0,100000000.0,5.6,0,1,1,0,0,0
240.0,96.0,90000000.0,7.0,0,1,0,1,0,0
93.0,132.0,100000000.0,6.8,0,1,1,0,0,0
84.0,104.0,90000000.0,5.4,0,1,0,1,0,0
66.0,111.0,86000000.0,6.1,0,1,0,1,0,0
136.0,138.0,100000000.0,6.7,0,1,0,1,0,0
166.0,129.0,20000000.0,6.9,0,1,0,1,0,0
201.0,144.0,88000000.0,8.0,0,1,1,0,0,0
47.0,110.0,90000000.0,4.4,0,1,0,1,0,0
175.0,140.0,87000000.0,7.3,1,0,0,1,0,0
114.0,113.0,92000000.0,6.3,0,1,1,0,0,0
221.0,143.0,90000000.0,7.7,0,1,1,0,0,0
206.0,108.0,100000000.0,6.5,0,1,1,0,0,0
239.0,108.0,75000000.0,7.8,0,1,1,0,0,0
142.0,124.0,85000000.0,6.4,0,1,1,0,0,0
186.0,116.0,85000000.0,7.8,0,1,1,0,0,0
228.0,110.0,75000000.0,5.8,0,1,1,0,0,0
256.0,91.0,85000000.0,7.1,0,1,0,1,0,0
222.0,107.0,85000000.0,7.1,0,1,0,1,0,0
298.0,115.0,85000000.0,6.8,0,1,0,1,0,0
84.0,100.0,85000000.0,4.8,0,1,0,1,0,0
236.0,104.0,75000000.0,6.2,0,1,1,0,0,0
157.0,138.0,85000000.0,6.9,0,1,1,0,0,0
81.0,140.0,90000000.0,7.3,0,1,1,0,0,0
187.0,120.0,85000000.0,6.6,0,1,1,0,0,0
238.0,122.0,85000000.0,6.9,0,1,1,0,0,0
107.0,83.0,85000000.0,6.2,0,1,0,1,0,0
459.0,139.0,85000000.0,6.7,0,1,0,1,0,0
187.0,131.0,68000000.0,7.6,0,1,0,1,0,0
151.0,104.0,85000000.0,6.7,0,1,1,0,0,0
80.0,130.0,85000000.0,6.2,0,1,1,0,0,0
229.0,145.0,85000000.0,7.3,0,1,1,0,0,0
158.0,104.0,85000000.0,6.0,0,1,1,0,0,0
190.0,97.0,100000000.0,7.1,0,1,0,0,1,0
98.0,178.0,90000000.0,7.1,0,1,0,1,0,0
135.0,108.0,85000000.0,5.5,0,1,0,1,0,0
84.0,123.0,17621670.9332,7.8,0,1,0,1,0,0
382.0,106.0,85000000.0,5.6,0,1,0,1,0,0
393.0,112.0,60000000.0,7.5,0,1,0,1,0,0
149.0,135.0,60000000.0,5.4,0,1,0,1,0,0
94.0,109.0,84000000.0,4.3,0,1,1,0,0,0
138.0,86.0,84000000.0,4.9,0,1,1,0,0,0
432.0,95.0,35000000.0,7.1,0,1,0,1,0,0
